,datekind,datename,isholiday,locdate,seq
0,01,1월1일,Y,20220101,1
1,01,설날,Y,20220131,1
2,01,설날,Y,20220201,1
3,01,설날,Y,20220202,1
4,01,삼일절,Y,20220301,1
5,01,대통령선거일,Y,20220309,1
6,01,어린이날,Y,20220505,1
7,01,부처님오신날,Y,20220508,1
8,01,전국동시지방선거,Y,20220601,1
9,01,현충일,Y,20220606,1
10,01,제헌절,N,20220717,1
11,01,광복절,Y,20220815,1
12,01,추석,Y,20220909,1
13,01,추석,Y,20220910,1
14,01,추석,Y,20220911,1
15,01,대체공휴일,Y,20220912,1
16,01,개천절,Y,20221003,1
17,01,한글날,Y,20221009,1
18,01,대체공휴일,Y,20221010,3
19,01,기독탄신일,Y,20221225,1
20,02,2·28 민주운동 기념일,N,20220228,1
21,02,납세자의 날,N,20220303,1
22,02,3·8 민주의거 기념일,N,20220308,1
23,02,3·15 의거 기념일,N,20220315,1
24,02,상공의 날,N,20220316,1
25,02,서해수호의 날,N,20220325,1
26,02,예비군의 날,N,20220401,1
27,02,4·3희생자 추념일,N,20220403,1
28,02,식목일,N,20220405,1
29,02,보건의 날,N,20220407,1
30,02,도시농업의 날,N,20220411,1
31,02,대한민국임시정부 수립기념일,N,20220411,2
32,02,4·19 혁명 기념일,N,20220419,1
33,02,장애인의 날,N,20220420,1
34,02,과학의 날,N,20220421,1
35,02,정보통신의 날,N,20220422,1
36,02,법의 날,N,20220425,1
37,02,충무공 이순신 탄신일,N,20220428,1
38,02,근로자의 날,N,20220501,1
39,02,어버이 날,N,20220508,2
40,02,유권자의 날,N,20220510,1
41,02,동학농민혁명 기념일,N,20220511,1
42,02,식품안전의 날,N,20220514,1
43,02,스승의 날,N,20220515,1
44,02,성년의 날,N,20220516,1
45,02,5·18 민주화운동 기념일,N,20220518,1
46,02,발명의 날,N,20220519,1
47,02,부부의 날,N,20220521,1
48,02,바다의 날,N,20220531,1
49,02,의병의 날,N,20220601,2
50,02,환경의 날,N,20220605,1
51,02,구강보건의 날,N,20220609,1
52,02,6·10 민주항쟁 기념일,N,20220610,1
53,02,전자정부의 날,N,20220624,1
54,02,6·25 전쟁일,N,20220625,1
55,02,마약퇴치의 날,N,20220626,1
56,02,철도의 날,N,20220628,1
57,02,인구의 날,N,20220711,1
58,02,정보보호의 날,N,20220713,1
59,02,섬의 날,N,20220808,1
60,02,사회복지의 날,N,20220907,1
61,02,곤충의 날,N,20220907,2
62,02,해양경찰의 날,N,20220910,2
63,02,국군의 날,N,20221001,1
64,02,노인의 날,N,20221002,1
65,02,세계한인의 날,N,20221005,1
66,02,재향군인의 날,N,20221008,1
67,02,임산부의 날,N,20221010,1
68,02,정신건강의 날,N,20221010,2
69,02,체육의 날,N,20221015,1
70,02,문화의 날,N,20221015,2
71,02,부마민주항쟁 기념일,N,20221016,1
72,02,경찰의 날,N,20221021,1
73,02,국제연합일,N,20221024,1
74,02,금융의 날,N,20221025,1
75,02,교정의 날,N,20221028,1
76,02,지방자치의 날,N,20221029,1
77,02,학생독립운동 기념일,N,20221103,1
78,02,소방의 날,N,20221109,1
79,02,농업인의 날,N,20221111,1
80,02,순국선열의 날,N,20221117,1
81,02,아동학대예방의 날,N,20221119,1
82,02,소비자의 날,N,20221203,1
83,02,무역의 날,N,20221205,1
84,02,자원봉사자의 날,N,20221205,2
85,02,원자력 안전 및 진흥의 날,N,20221227,1
86,04,정월대보름,N,20220215,1
87,04,한식,N,20220406,1
88,04,단오,N,20220603,1
89,04,초복,N,20220716,1
90,04,중복,N,20220726,1
91,04,칠석,N,20220804,1
92,04,말복,N,20220815,2
93,03,소한,N,20220105,1
94,03,대한,N,20220120,1
95,03,입춘,N,20220204,1
96,03,우수,N,20220219,1
97,03,경칩,N,20220305,1
98,03,춘분,N,20220321,1
99,03,청명,N,20220405,2
100,03,곡우,N,20220420,2
101,03,입하,N,20220505,2
102,03,소만,N,20220521,2
103,03,망종,N,20220606,2
104,03,하지,N,20220621,1
105,03,소서,N,20220707,1
106,03,대서,N,20220723,1
107,03,입추,N,20220807,1
108,03,처서,N,20220823,1
109,03,백로,N,20220908,1
110,03,추분,N,20220923,1
111,03,한로,N,20221008,2
112,03,상강,N,20221023,1
113,03,입동,N,20221107,1
114,03,소설,N,20221122,1
115,03,대설,N,20221207,1
116,03,동지,N,20221222,1
